icp_number;name;remedy
401;State change request;- None
402;Invalid cycle time;- Increase cycle time
403;Sync Manager invalid address;- Setup correct sync manager address
404;Sync Manager invalid size;- Correct I/O size
405;Sync Manager invalid settings;- Correct I/O settings
406;DC activation register invalid;- Correct DC activation register
407;SyncType not supported;- Check DC registers and supported SyncTypes (0x1C32.4 and 0x1C33.4)
408;Short circuit to 24V;- Check wiring
409;Short circiut to external clock pulse;- Check wiring
410;No signal at the input;- Check wiring
411;Input signal discrepancy;- Check wiring
412;Error cross circuit P channel;"- Check wiring.
- Acknowledge and reintegrate the module.
- Replace module and contact Festo Service if problem persists."
413;Error cross circuit M channel;"- Check wiring.
- Acknowledge and reintegrate the module.
- Replace module and contact Festo Service if problem persists."
414;Short circuit to 0V (GND);- Check wiring
415;General CBUS Error;- Contact Festo Service
416;Overvoltage internal 3,3V supply (derivational from load supply);- Check power supply, device defect
417;Undervoltage internal 3,3V supply (derivational from load supply);- Check power supply, device defect
418;Device in System State Emergency Operation;"- Restart device
- Restart system
- Contact Festo service"
419;Filetransfer failed;"- Check communication cable (AP)
- Check for firmware versions
- Contact Festo Service if problem persists"
420;Device variant mismatch;- In case that the device variant is not set automatically, set the device variant to the value configured for the system.
421;Minimum impulse width underrun;- None
422;Maximum impulse width overrun;- None
423;Non-volatile memory defect;"- Restart device
- Contact Festo Service if problem persists"
424;Incorrect DeviceID – Inspection Level mismatch;- Check if correct IO-Link device is connected
425;No Device;- Check if IO-Link device is connected
426;New minimum impulse detected;- None
427;New maximum impulse detected;- None
428;Current sense resistor overloaded;"- Check the connected sensor / wiring
- Use the current input only within its physical limits"
429;System state change to OPERATION failed;"- Restart system
- Update firmware to latest version
- Contact Festo service"
430;AP device invalid detected;"- Check AP device
- Restart system"
431;Invalid application limits;- Check values for limitations (min value < max value)?
432;Task ignored as firmware update is in progress;- Wait until firmware update Is completed
433;AP Startup delayed;"- Check communication cable (AP)
- Check AP devices
- Check for firmware versions"
434;Wrong resolution setting;- Check parameterization. P0.10040 must be smaller than 65536.
435;B10 value for cycles reached;- Replace valve
436;Wrong valve type connected;"- Update configuration
- Connect matching valve"
437;Condition counter value for valve coil reached;- Reset condition counter for valve coil
439;Too many invalid logins;- Restart device and try again
440;Maximum write cycles reached;- Service case
442;Error self-test digital input channel A;"- Restart device
- Service case"
443;Error self-test digital input channel B;"- Restart device
- Service case"
444;Input discrepancy time exceeded channel A;"- Check timing of input signals
- Check configuration discrepancy time"
445;Input discrepancy time exceeded channel B;"- Check timing of input signals
- Check configuration discrepancy time"
446;Error self-test digital input channel A;"- Check configuration of test pulse
- Service case"
447;Error self-test digital input channel B;"- Check configuration of test pulse
- Service case"
448;Discrepany requested state on output channel A;"- Restart device
- Service case"
449;Discrepany requested state on output channel B;"- Restart device
- Service case"
450;Discrepany requested state off output channel A;"- Restart device
- Service case"
451;Discrepany requested state off output channel B;"- Restart device
- Service case"
452;AP Module(s) detected;- None
453;Overvoltage channel A;"- Restart device
- Service case"
454;Overvoltage channel B;"- Restart device
- Service case"
455;Undervoltage channel A;"- Restart device
- Service case"
456;Undervoltage channel B;"- Restart device
- Service case"
457;Communication failure FSU channel A;"- Restart device
- Service case"
458;Communication failure FSU channel B;"- Restart device
- Service case"
459;Error main switch channel A;"- Restart device
- Service case"
460;Error main switch channel B;"- Restart device
- Service case"
461;Wrong FSU version channel A;"- Restart device
- Service case
- Check firmware"
462;Wrong FSU version channel B;"- Restart device
- Service case
- Check firmware"
463;Internal error FSU channel A;"- Restart device
- Service case
- Check firmware"
464;Internal error FSU channel B;"- Restart device
- Service case
- Check firmware"
465;Supply pressure too high;- Replace terminal
466;Supply pressure too low;- Replace terminal
467;Exhaust pressure too high;- Replace terminal
468;Exhaust pressure too low;- Replace terminal
469;Invalid safety version channel A;"- Restart device
- Service case
- Check firmware"
470;Invalid safety version channel B;"- Restart device
- Service case
- Check firmware"
471;Pressure sensor defective;- Replace terminal
472;Systemvoltage error;"- Restart device
- Service case"
473;Exception Safety;"- Restart device
- Service case"
474;Invalid CRC in HCI communcation frame;"- Restart device
- Service case"
475;Wrong sequence HCI communcation frame;"- Restart device
- Service case"
476;Invalid header HCU communcation frame;"- Restart device
- Service case"
477;Diagnosis Trace resetted;- None
478;Mismatch of safety destination address;- Check safety destination address configuration
479;Safety destination address not valid;- Check safety destination address configuration
480;Safety source address not valid or mismatch;- Check safety source address configuration
481;Safety watchdog time value is 0 ms;- Check safety watchdog timeout configuration
482;"Parameter ""F_SIL"" exceeds SIL from specific device application";"- Check SIL of ""F-SIL"" parameter"
483;"Parameter ""F_CRC_Length"" does not match the generated values";"- Check ""F_CRC_Length"" parameter configuration"
484;Version of F-Parameter set incorrect;- Check F-Parameter version
485;Data inconsistent in received F-Parameter block (CRC1 error);"- Check wiring
- Check hardware"
486;Device specific or unspecified diagnosis information;- See device specific manual
487;Save iParameter watchdog time exceeded;"- Check software (firmware update)
- Check hardware"
488;Restore iParameter watchdog time exceeded;"- Check software (firmware update)
- Check hardware"
489;Inconsistent iParameters (iParCRC error);- Check hardware
490;F_Block_ID not supported;- Check configuration
491;Transmission error: data inconsistent (CRC2 error);"- Check wiring
- Check hardware"
492;Transmission error: timeout;"- Check wiring
- Check hardware"
493;Acknowledge required to enable the channel(s);- Acknowledge channel(s)
494;BaseID not valid or mismatch of the BaseID;- Check BaseID configuration
495;Reserved: do not use numbers, do not evaluate numbers;
496;Reserved: do not use numbers, do not evaluate numbers;
497;Reserved: do not use numbers, do not evaluate numbers;
498;Reserved: do not use numbers, do not evaluate numbers;
499;Reserved: do not use numbers, do not evaluate numbers;
500;Reserved: do not use numbers, do not evaluate numbers;
501;Reserved: do not use numbers, do not evaluate numbers;
502;Reserved: do not use numbers, do not evaluate numbers;
503;Reserved: do not use numbers, do not evaluate numbers;
504;Reserved: do not use numbers, do not evaluate numbers;
505;Reserved: do not use numbers, do not evaluate numbers;
506;Reserved: do not use numbers, do not evaluate numbers;
507;Reserved: do not use numbers, do not evaluate numbers;
508;Reserved: do not use numbers, do not evaluate numbers;
509;Reserved: do not use numbers, do not evaluate numbers;
510;Reserved: do not use numbers, do not evaluate numbers;
511;Device not ready;- Contact Festo Support
512;Over temperature safety channel A;"- Unit fan defective?
- Device overloaded?
- Check installation conditions, filter of control cabinet fan dirty?
- Check drive dimensioning (possible overload in continuous operation)"
513;Over temperature safety channel B;"- Unit fan defective?
- Device overloaded?
- Check installation conditions, filter of control cabinet fan dirty?
- Check drive dimensioning (possible overload in continuous operation)"
514;Under temperature safety channel A;"- Unit fan defective?
- Device overloaded?
- Check installation conditions, filter of control cabinet fan dirty?
- Check drive dimensioning (possible overload in continuous operation)"
515;Under temperature safety channel B;"- Unit fan defective?
- Device overloaded?
- Check installation conditions, filter of control cabinet fan dirty?
- Check drive dimensioning (possible overload in continuous operation)"
516;Invalid active CRC1 channel A;"- Do reinitilization
- Restart device
- Service case"
517;Invalid active CRC1 channel B;"- Do reinitilization
- Restart device
- Service case"
518;Invalid CRC1 channel A;- Redo safety parameterization
519;Invalid CRC1 channel B;- Redo safety parameterization
520;Overflow diagnostic register buffer channel A;"- Acknowledge messages
- Remedy causes for currently pending messages"
521;Overflow diagnostic register buffer channel B;"- Acknowledge messages
- Remedy causes for currently pending messages"
522;Overflow diagnostic register channel A;"- Acknowledge messages
- Remedy causes for currently pending messages"
523;Overflow diagnostic register channel B;"- Acknowledge messages
- Remedy causes for currently pending messages"
524;Self test of digital input failed;"- Acknowledge messages
- Restart device
- Service case"
525;Acknowledge channel A;- None
526;Acknowledge channel B;- None
527;Timeout safe brake output channel A;"- Release brake
- Check timeout parameter"
528;Timeout safe brake output channel A;"- Release brake
- Check timeout parameter"
529;Parameter changed;- Check configuration
530;Transmission failed;"- Check connection
- Increase number of retries"
531;Device type not correct channel A;- Use compatible parameter set
532;Device type not correct channel B;- Use compatible parameter set
533;Device forced to communication loopback;- Check wiring
534;IMA Timeout;"- Increase IMA timeout
- Improve wireless connection
- Check interference with other wireless networks"
535;Pairing Button pressed;- None
536;Safety Compatibility Index is newer channel A;"- Reset device to factory settings
- Open Engineering Tool and download a valid paramter set"
537;Safety Compatibility Index is newer channel B;"- Reset device to factory settings
- Open Engineering Tool and download a valid paramter set"
538;Safety Compatibility Index is older channel A;"- Reset device to factory settings
- Open Engineering Tool and download a valid paramter set"
539;Safety Compatibility Index is older channel B;"- Reset device to factory settings
- Open Engineering Tool and download a valid paramter set"
540;Safety Compatibility Index is not set in channel A;"- Reset device to factory settings
- Open Engineering Tool and download a valid paramter set"
541;Safety Compatibility Index is not set in channel B;"- Reset device to factory settings
- Open Engineering Tool and download a valid paramter set"
542;Short-cut terminal BR-EXT channel A;- Check wiring on BR-EXT
543;Short-cut terminal BR-EXT channel B;- Check wiring on BR-EXT
544;Communcation Error;- Service case
545;Parameter set stored;- None
546;Parameter set activated;- None
547;Supply pressure diagnostic;- Check the tubing between the supply and the valve.
548;Working pressure leakage;- Check the tubing between the valve and the cylinder.
549;Invalid Topology;- Check wiring
550;CRC2 mismatch channel A;"- Reset device to factory settings
- Open Engineering Tool and download a valid paramter set"
551;CRC2 mismatch channel B;"- Reset device to factory settings
- Open Engineering Tool and download a valid paramter set"
552;HCI synchronisation failure;"- Restart device
- Service case"
553;Safety clock synchronisation failure;"- Restart device
- Service case"
554;Initial safety parameter upload failure;"- Restart device
- Service case"
555;CRC crosscompare failed channel A;"- Reset device to factory settings
- Open Engineering Tool and download a valid paramter set"
556;CRC crosscompare failed channel B;"- Reset device to factory settings
- Open Engineering Tool and download a valid paramter set"
557;Safety Reinit Handling Failed channel A;- Open Engineering Tool, solve the issue and run reinit again
558;Safety Reinit Handling Failed channel B;- Open Engineering Tool, solve the issue and run reinit again
559;Overflow gear position difference;- reduce motor velocity, Number of increments should be even, execute Reinit
560;Powerforwarding overload ULoad;"- Reduce connected load and restart module.
- Service case"
561;Powerforwarding overload UElsen;"- Reduce connected load and restart module.
- Service case"
562;Valve dysfunctional;- Shut down electrical and pneumatic supply and replace valve
563;Valve communication error;"- Check ambient conditions and restart; if appropriate, shut down electrical and pneumatic supply and replace valve module"
564;Valve not supported;"- Execute firmware update; if appropriate, shut down electrical and pneumatic supply and replace valve module"
565;Communication module not supported;- Replace terminal
566;Ambient temperature too high;- Check ambient conditions and restart
567;Ambient temperature too low;- Check ambient conditions and restart
568;Working pressure too high;- Replace terminal
569;Working pressure too low;- Replace terminal
570;Ambient pressure too high;- Replace terminal
571;Ambient pressure too low;- Replace terminal
572;System shut down;
573;Update started;
574;Update finished;
575;Firmware size exceeds memory capacity;"- Check if you are using a correct firmware revision
- Contact the Festo Support"
576;Error diagnosis ability P channel;"- Check wiring.
- Acknowledge and reintegrate the module.
- Replace module and contact Festo Service if problem persists."
577;Error diagnosis ability M channel;"- Check wiring.
- Acknowledge and reintegrate the module.
- Replace module and contact Festo Service if problem persists."
578;Error resting potential high P channel;"- Check wiring.
- Acknowledge and reintegrate the module.
- Replace module and contact Festo Service if problem persists."
579;Error resting potential low P channel;"- Check wiring.
- Acknowledge and reintegrate the module.
- Replace module and contact Festo Service if problem persists."
580;Short circuit to 0V (GND) P channel;"- Check wiring.
- Acknowledge and reintegrate the module."
581;Short circuit to 24V M channel;"- Check wiring.
- Acknowledge and reintegrate the module."
582;Vacuum not reached;- Check for leakage.
583;Error air saving function;"- Deactivate air saving function.
- Check for leakage."
584;Evacuation or ventilation time exceeded;"- Check for leakage.
- Extend ventilation period.
- Check throttle setting."
585;Process quality below limit;- Check for leakage.
586;Unknown module;"- Check module firmware
- Perform software update
- Contact Festo service"
587;Too many modules connected;"- Remove modules
- Change topology, use multiple gateways
- Contact Festo service"
588;Subbus diagnosis;"- Perform software update
- Contact Festo service"
589;Reintegration not allowed while output set;"- Change config
- Switch of output(s)
- Acknowledge and reintegrate the module."
590;Safety Addressing Procedure Failure;- Contact Festo Service
591;Device inconsistency detected;- Possible Bug detected in the device. Please contact Festo Service.
592;HardFaultOnLa;"- Device has already restarted automatically.
- Acknowledge the error to allow the system to continue running (Error reaction is application specific).
- If the hard fault occurs again, the device must be restarted with power. "
593;HardFaultOnLb;"- Device has already restarted automatically.
- Acknowledge the error to allow the system to continue running (Error reaction is application specific).
- If the hard fault occurs again, the device must be restarted with power. "
594;Failed Selftest on logic channel A;
595;Failed Selftest on logic channel B;
596;Failed Communication between LA and FSU;
597;Failed Communication between LB and FSU;
598;Mismatch of software/hardware versions of LA and FSU;
599;Mismatch of software/hardware versions of LB and FSU;
600;Reached threshold value of error memory on channel A;
601;Reached threshold value of error memory on channel B;
602;Failed Test of digital input on LA;
603;Failed Test of digital input on LB;
604;Applicationspecific FSUCom-Error concerning LA;- Restart device, Service case
605;Applicationspecific FSUCom-Error concerning LB;- Restart device, Service case
606;PositionDiscrepancyLa;
607;PositionDiscrepancyLb;
608;VelocityDiscrepancyLa;
609;VelocityDiscrepancyLb;
610;InvalidEncoderSelectionLa;
611;InvalidEncoderSelectionLb;
612;SupplyVoltageErrorX2La;
613;SupplyVoltageErrorX2Lb;
614;SupplyVoltageErrorX3La;
615;SupplyVoltageErrorX3Lb;
616;Valve defect;- Check and / or replace valve
617;Incompatible device configuration in the control for PROFINET IRT;- Select MP device in GSDML (CMMT-...-...-MP instead of CMMT-... V1)
618;Invalid Safety Input Configuration.;-Module is passivated, Reintegration possible, Configuration with valid Input Modes
619;Non-supported homing method;- Use different homing method (xxx)
620;Parameter set stored CRC1 0..63;- None (info only)
621;Parameter set stored CRC1 64..127;- None (info only)
622;Parameter set activated CRC2 0..63;- None (info only)
623;Parameter set activated CRC2 64..127;- None (info only)
624;Parameter not found Px.y.-.-;"- Delete parameter set
- Overwrite (save) parameter set"
625;Parameter not found P-.-.x.y;"- Delete parameter set
- Overwrite (save) parameter set"
626;Parameter not writable Px.y.-.-;"- Delete parameter set
- Overwrite (save) parameter set"
627;Parameter not writable P-.-.x.y;"- Delete parameter set
- Overwrite (save) parameter set"
628;Login completed;- None (info only)
629;Logout completed;- None (info only)
630;Hardfault safety;"- Safe hardfault information
- Restart device"
631;Violation of Parameter Write Rate-Limit ;- Contact Festo service
632;SafetyAddress mismatch Pairing necessary;- Write specific parameter, activation and performing of pairing procedure
633;Possible timing violation;- Increase baud rate value
634;Velocity difference encoder 1 to encoder 2 too large;"- Set velocity filter
- Check error threshold
- Check encoder line"
635;Operating Mode Change Timeout La;- None
636;Operating Mode Change Timeout Lb;- None
637;Invalid IP address settings;- Change IP address to a valid value
638;Countdown Timer Expired;- None
639;Interpolation Point Delay;- None
640;SafetyCycleViolatedLa;- None
641;SafetyCycleViolatedLb;- None
642;Pos1Pos2CheckFailedLa;- None
643;Pos1Pos2CheckFailedLb;- None
644;CrcErrorLa;- None
645;CrcErrorLb;- None
646;RecoveryTimeErrorLa;- None
647;RecoveryTimeErrorLb;- None
648;ForceDynamicSamplingErrorLa;- None
649;ForceDynamicSamplingErrorLb;- None
650;CommonErrorLa;- None
651;CommonErrorLb;- None
652;vectorLengthErrorLa;"- Check wiring (EMC)
- Input frequency too high, reduce velocity
- Encoder defective- Encoder defective"
653;vectorLengthErrorLb;"- Check wiring (EMC)
- Input frequency too high, reduce velocity
- Encoder defective- Encoder defective"
654;quadrantErrorLa;"- Check wiring (EMC)
- Encoder defective"
655;quadrantErrorLb;"- Check wiring (EMC)
- Encoder defective"
656;StandStillTooLongLa;
657;StandStillTooLongLb;
658;acceleration: following error;"- Investigate causes of contouring errors (Trace)
- Reduce dynamic values
- Check error window (Px.y)"
659;Torque-Off_SelftestFailed_La;
660;Torque-Off_SelftestFailed_Lb;
661;Torque-Off_SwitchOffTimeout_La;
662;Torque-Off_SwitchOffTimeout_Lb;
663;Torque-Off_FeedbackErrorOff_La;
664;Torque-Off_FeedbackErrorOff_Lb;
665;Torque-Off_FeedbackErrorOn_La;
666;Torque-Off_FeedbackErrorOn_Lb;
667;Torque-Off VoltageLevelFault_La;
668;Torque-Off VoltageLevelFault_Lb;
669;STO_SafetyConditionViolated_La;
670;STO_SafetyConditionViolated_Lb;
671;SOS_InputValuesNotValid_La;
672;SOS_InputValuesNotValid_Lb;
673;SOS_SpeedLimitViolated_La;
674;SOS_SpeedLimitViolated_Lb;
675;SOS_PositionLimitViolated_La;
676;SOS_PositionLimitViolated_Lb;
677;StepMonitoringLa;- None
678;StepMonitoringLb;- None
679;NoSafetyEncoderDetectedLa;- None
680;NoSafetyEncoderDetectedLb;- None
681;WrongSerialNumberLa;- None
682;WrongSerialNumberLb;- None
683;WrongZeroOffsetLa;- None
684;WrongZeroOffsetLb;- None
685;Error in pilot pressure supply;- Check for leakage.
686;encoderLinearizationDiagnostic;- None
687;Error while initializing safety over HCI;- Validate your parametrization
688;coggingCompensationDiagnostic;- Restart device
689;System booting;- None
690;Parameter access invalid;- Check data, retry parameter access
691;F Parameters could not be written;- If writing F Parameters is necessary: stop PROFIsafe communication before writing f parameters
692;Safety Parameters can not be written;- None
693;Error when recording the cogging table;- Repeat identification drive
694;AddressMapper Add failed;- None
695;AddressMapper Apply failed;- None
34831;AP process data internal error;- Restart device
