pnu;name;data_type;parameter_id
3066;dcVoltageLimitHighActive;REAL;0.56800.0
3067;dcVoltageLimitLowActive;REAL;0.56801.0
3068;chopperThresholdActive;REAL;0.56802.0
3070;stuckRelayOptions;USINT;0.56804.0
3071;thresholdSelection;LINT;0.60012.0
3072;bitMask;ULINT;0.60013.0
3073;userAcceleration;REAL;0.71500.0
3074;userAcceleration;REAL;0.71500.1
3075;userAccelerationFiltered;REAL;0.71501.0
3076;userAccelerationFiltered;REAL;0.71501.1
3077;timeConstantAccelerationFilter;REAL;0.71502.0
3078;timeConstantAccelerationFilter;REAL;0.71502.1
3082;actCounter;UDINT;0.100501.0
3083;actOffset;UDINT;0.100502.0
3084;actFileSize;UDINT;0.100503.0
3086;invalidFileWarnOptions;USINT;0.100505.0
3088;lostMessagesWarnOptions;USINT;0.100509.0
3089;actQueueCount;UDINT;0.100510.0
3106;NoValidJSONFileErrorOptions;USINT;0.100704.0
3110;JSONScreenSizeTooBigErrorOptions;USINT;0.100708.0
3112;SPICommunicationTooSlowErrorOptions;USINT;0.100710.0
3113;cdsbIdleTimeout;REAL;0.100711.0
3114;voltageSetpoint;REAL;0.101400.0
3115;voltageSetpoint;REAL;0.101400.1
3116;voltageAtController;REAL;0.101401.0
3117;voltageAtController;REAL;0.101401.1
3118;voltageAtEncoder;REAL;0.101402.0
3119;voltageAtEncoder;REAL;0.101402.1
3120;measureAtEncoder;BOOL;0.101403.0
3121;measureAtEncoder;BOOL;0.101403.1
3122;statusAtController;DINT;0.101404.0
3123;statusAtController;DINT;0.101404.1
3124;statusAtEncoder;DINT;0.101405.0
3125;statusAtEncoder;DINT;0.101405.1
3126;monitoringWindow;REAL;0.101406.0
3127;monitoringWindow;REAL;0.101406.1
3128;enabled;BOOL;0.101407.0
3129;enabled;BOOL;0.101407.1
3134;controllerMonitoringReference;REAL;0.101410.0
3135;controllerMonitoringReference;REAL;0.101410.1
3140;axisIdSelection;UINT;0.103100.0
3141;diagnosisIdSelection;UDINT;0.103101.0
3142;diagnosisInstanceSelection;UINT;0.103102.0
3143;axisIdActive;UINT;0.103103.0
3144;diagnosisIdActive;UDINT;0.103104.0
3145;diagnosisInstanceActive;UINT;0.103105.0
3146;diagnosisTriggerSelection;UDINT;0.103106.0
3147;diagnosisTriggerActive;UDINT;0.103107.0
3158;acknowledgeCounter;UDINT;0.103401.0
3159;acknowledgeCounter;UDINT;0.103401.1
3160;nativeSingleturnPosition;UDINT;0.103800.0
3161;multiturnPosition;DINT;0.103801.0
3162;position;LINT;0.103802.0
3163;singleturnResolution;UDINT;0.103803.0
3164;multiturnResolution;UDINT;0.103804.0
3165;multiturnSupport;BOOL;0.103805.0
3166;supplyVoltage;REAL;0.103806.0
3167;supplyVoltageMonitoringWindow;REAL;0.103807.0
3172;crcErrorCounter;UDINT;0.103812.0
3173;temperature;REAL;0.103815.0
3176;encoderHasVoltageMeasurement;BOOL;0.103818.0
3183;conformanceError;BOOL;0.103825.0
3184;singleturnError;BOOL;0.103826.0
3185;overSpeedError;BOOL;0.103827.0
3186;batteryError;BOOL;0.103828.0
3187;multiturnError;BOOL;0.103829.0
3188;memoryError;BOOL;0.103830.0
3189;overTempError;BOOL;0.103831.0
3242;driveReset;UINT;0.112901.0
3243;setDefaultValues;UINT;0.112902.0
3244;saveParameterSet;UINT;0.112903.0
3248;ErrorBits;UINT;0.125913.0
3249;EncoderSupplyVoltageMonitoringWindow;REAL;0.125915.0
3250;CrcErrorCounter;UDINT;0.125916.0
3251;Errors;UINT;0.125917.0
3253;deviceTyp;UINT;0.125919.0
3254;linearResolution;UDINT;0.125920.0
3255;debugScalingFactor;REAL;0.281520.0
3283;openRelayOptions;USINT;0.560804.0
3284;bootloaderVersionMajor;UDINT;0.1130121.0
3285;bootloaderVersionMinor;UDINT;0.1130122.0
3286;bootloaderVersionPatch;UDINT;0.1130123.0
3287;bootloaderVersionBuild;UDINT;0.1130124.0
3288;bootloaderVersionString;STRING(32);0.1130125.0
3291;activateDataTriggerFunction;BOOL;0.1174200.0
3292;dataTriggerAxis;UINT;0.1174201.0
3293;dataTriggerDataId;UDINT;0.1174202.0
3294;dataTriggerInstance;UINT;0.1174203.0
3295;dataTriggerArray;UINT;0.1174204.0
3296;dataTriggerThresholdValue;LINT;0.1174205.0
3297;dataTriggerHysteresis;LINT;0.1174206.0
3298;dataTriggerSettlingTime;REAL;0.1174207.0
3299;dataTriggerStateActive;BOOL;0.1174210.0
3300;dataTriggerAxisActive;UINT;0.1174211.0
3301;dataTriggerDataIdActive;UDINT;0.1174212.0
3302;dataTriggerInstanceActive;UINT;0.1174213.0
3303;dataTriggerArrayActive;UINT;0.1174214.0
3304;dataTriggerThresholdValueActive;LINT;0.1174215.0
3305;dataTriggerHysteresisActive;LINT;0.1174216.0
3306;dataTriggerSettlingTimeActive;REAL;0.1174217.0
3307;dataTriggerStateTriggered;BOOL;0.1174220.0
3312;reInitLastDataId;UDINT;0.11280019.0
3313;companyUrl;STRING(20);0.11280052.0
3314;telegramSelection;UINT;0.11280201.0
3316;unsupportedTelegramSelectionOption;USINT;0.11280203.0
3317;maxParameterCount;UINT;0.11280801.0
3318;multiParameterSupport;BOOL;0.11280802.0
3320;nameOfStation;STRING(241);0.11295001.0
3321;im1Function;STRING(33);0.11295002.0
3322;im1Location;STRING(23);0.11295003.0
3323;im2Date;STRING(17);0.11295004.0
3324;im3Descriptor;STRING(55);0.11295005.0
3326;productVersion;STRING(10);0.72.0
3327;SingleturnResolution;UDINT;0.3601.0
3328;MultiturnResolution;UDINT;0.3602.0
3329;NativeSingleturnPosition;UDINT;0.3603.0
3330;NativeMultiturnPosition;UDINT;0.3604.0
3333;EncoderSupplyVoltage;REAL;0.3607.0
3334;EncoderSupplyVoltageMonitoringWindow;REAL;0.3608.0
3338;BaudRate;UDINT;0.3612.0
3339;CorrectionTableActive;BOOL;0.3613.0
3343;parseEncoderEeprom;BOOL;0.3618.0
3352;voltageStart;REAL;0.10181.0
3353;switchActive;BOOL;0.10182.0
3354;switchEnable;BOOL;0.10183.0
3355;automaticVoltageDetection;BOOL;0.10184.0
3356;voltageStartManual;REAL;0.10185.0
3357;percentageAutomaticVoltageStart;REAL;0.10186.0
3364;config_X1A_07;UDINT;0.11201.0
3365;config_X1A_08;UDINT;0.11202.0
3366;config_X1A_09;UDINT;0.11203.0
3367;config_X1A_10;UDINT;0.11204.0
3368;config_X1C_02;UDINT;0.11205.0
3371;enableWebserver;BOOL;0.11280051.0
3373;parameterSetFromOlderFwVersionOptions;USINT;0.5781.0
3375;parameterSetFromNewerFwVersionOptions;USINT;0.5783.0
3376;currentMostSevereError;UDINT;0.315.0
3377;currentMostSevereError;UDINT;0.315.1
3378;invertZPulseSignal;BOOL;0.10045.0
3379;invertZPulseSignal;BOOL;0.10045.1
3380;invertZPulseSignal;BOOL;0.10045.2
3381;zPulseWindow;UINT;0.10047.0
3382;zPulseWindow;UINT;0.10047.1
3383;zPulseWindow;UINT;0.10047.2
3384;invalidPulseCountLog;USINT;0.10060.0
3385;invalidPulseCountLog;USINT;0.10060.1
3386;invalidPulseCountLog;USINT;0.10060.2
3387;invalidPulseCountReaction;UINT;0.10061.0
3388;invalidPulseCountReaction;UINT;0.10061.1
3389;invalidPulseCountReaction;UINT;0.10061.2
3397;missingSyncCommunicationprocessor;UINT;0.54545.0
3398;missingSyncCommunicationprocessorOption;USINT;0.54546.0
3399;invalidSelectionDataTriggerSignalFunctionErrLvl;UINT;0.1174230.0
3400;invalidSelectionDataTriggerSignalFunctionErrOptions;USINT;0.1174231.0
3401;telegramSelectionExtension1;UINT;0.11280204.0
3402;modularTelegramConfig;UINT;0.11280210.0
3403;userControlOutputs;UINT;0.11310.0
3404;numberPolePairsDenom;UDINT;0.7171.0
3405;numberPolePairsDenom;UDINT;0.7171.1
3423;ZeroAngleOffsetUserConfiguration;LINT;0.3219.2
3424;ZeroAngleOffset;LINT;0.3220.2
3425;ZeroOffsetEEPROM;LINT;0.3221.2
3426;ZeroOffsetUserConfiguration;LINT;0.3223.2
3427;ZeroOffset;LINT;0.3224.2
3428;IsReferencedEEPROM;BOOL;0.3225.2
3429;IsReferencedUserConfiguration;BOOL;0.3226.2
3430;IsReferenced;BOOL;0.3227.2
3431;IsZeroAngleOffsetDeterminedEEPROM;BOOL;0.3228.2
3432;IsZeroAngleOffsetDeterminedUserConfiguration;BOOL;0.3229.2
3433;IsZeroAngleOffsetDeterminedOffset;BOOL;0.3230.2
3436;ElectricalFrequencyFiltered;REAL;0.3234.2
3438;compatibleDriveChangeIsPermitted;BOOL;0.3236.2
3439;encoderIsAlwaysReferenced;BOOL;0.3237.2
3440;expectedFestoPartNumber;UDINT;0.3238.2
3441;expectedSerialNumber;STRING(13);0.3239.2
3442;expectedProductKey;STRING(15);0.3240.2
3452;autoDetect;BOOL;0.3250.2
3453;gearboxFactorsIndex;USINT;0.3251.2
3454;EncoderPosition;LINT;0.11600.2
3455;UserPosition;LINT;0.11601.2
3456;UserVelocity;REAL;0.11602.2
3457;UserVelocityFiltered;REAL;0.11603.2
3458;ElectricalAngle;UDINT;0.11604.2
3459;ElectricalFrequency;REAL;0.11605.2
3462;ZeroAngleOffsetEEPROM;LINT;0.11608.2
3469;MechanicalPosition;LINT;0.11615.2
3470;SelectedEncoder;UDINT;0.11616.2
3471;ActiveEncoder;UDINT;0.11617.2
3472;TimeConstantVelocityFilter;REAL;0.11618.2
3480;useZeroAngleOffsetOldTypeLabel;BOOL;0.11626.2
3481;userAcceleration;REAL;0.71500.2
3482;userAccelerationFiltered;REAL;0.71501.2
3483;timeConstantAccelerationFilter;REAL;0.71502.2
3487;maxParameterCount;UINT;0.303101.0
3488;multiParameterSupport;BOOL;0.303102.0
3489;actState;DINT;0.303302.0
3490;telegramSelection;UINT;0.3030101.0
3491;enableExtendedProcessData;BOOL;0.3030104.0
3492;InvalidResolutionConfiguration_LogSettings;USINT;0.179.0
3493;InvalidResolutionConfiguration_LogSettings;USINT;0.179.1
3494;InvalidResolutionConfiguration_LogSettings;USINT;0.179.2
3495;InvalidResolutionConfiguration_DiagnosisLevels;UINT;0.181.0
3496;InvalidResolutionConfiguration_DiagnosisLevels;UINT;0.181.1
3497;InvalidResolutionConfiguration_DiagnosisLevels;UINT;0.181.2
3498;linearEncoderDetected;BOOL;0.100000.0
3499;exponentNumberOfPeriods;USINT;0.100001.0
3500;storageThresholdReached_LogSettings;USINT;0.203.0
3501;storageThresholdReached_DiagnosisLevels;UINT;0.205.0
3502;enableStorageManagement;BOOL;0.100025.0
3503;storageLevel;UDINT;0.100026.0
3504;storageThreshold;UDINT;0.100027.0
3505;storageLevel_EEPROM;UDINT;0.666.0
3506;outputTimeIO;REAL;0.31236.0
3507;inputTimeIO;REAL;0.31237.0
3508;profinetCACF;UINT;0.31238.0
3509;enableMultiTurn;BOOL;0.100556.0
3510;enableMultiTurn;BOOL;0.100556.1
3511;enableMultiTurn;BOOL;0.100556.2
3512;SerialNumberBiss;UDINT;0.3625.0
3513;ManufacturerIdBiss;UINT;0.3626.0
3514;DeviceIdBiss;ULINT;0.3627.0
3515;OverflowGearPositionDifference_LogSettings;USINT;0.101125.0
3516;OverflowGearPositionDifference_LogSettings;USINT;0.101125.1
3517;OverflowGearPositionDifference_LogSettings;USINT;0.101125.2
3518;OverflowGearPositionDifference_DiagnosisLevels;UINT;0.101127.0
3519;OverflowGearPositionDifference_DiagnosisLevels;UINT;0.101127.1
3520;OverflowGearPositionDifference_DiagnosisLevels;UINT;0.101127.2
3522;unsupportedTelegramSelectionMp_LogSettings;USINT;0.141.0
3523;unsupportedTelegramSelectionMp_DiagnosisLevels;UINT;0.144.0
3532;nocCodeSystem;STRING(50);0.701.0
3533;esmState;UDINT;0.720.0
3534;sdo1C00_syncManagerCommunicationType;USINT;0.750.0
3535;sdo1C10_syncManager0PdoAssignment;USINT;0.751.0
3536;sdo1C11_syncManager1PdoAssignment;USINT;0.752.0
3542;processDataMissingLevel;UINT;0.758.0
3543;processDataMissingOptions;USINT;0.759.0
3544;pdoNumberOfObjects;USINT;0.760.0
3545;pdoMappedObjects;UDINT;0.761.0
3546;sdo1C1x00_syncManagerNumberOfAssignedPdos;USINT;0.770.0
3547;sdo1C1x00_syncManagerNumberOfAssignedPdos;USINT;0.770.1
3548;sdo1C1x01_syncManagerPdoMapping;UINT;0.771.0
3549;sdo1C1x01_syncManagerPdoMapping;UINT;0.771.1
3550;pdoNumberOfObjects;USINT;0.880.0
3551;pdoNumberOfObjects;USINT;0.880.1
3552;pdoNumberOfObjects;USINT;0.880.2
3553;pdoMappedObjects;UDINT;0.881.0
3554;pdoMappedObjects;UDINT;0.881.1
3555;pdoMappedObjects;UDINT;0.881.2
3556;syncMode;UINT;0.1050.0
3557;syncCycleTime;REAL;0.1051.0
3559;syncModeSupported;UINT;0.1053.0
3560;syncMinimumCycleTime;REAL;0.1054.0
3561;syncCalcAndCopyTime;REAL;0.1055.0
3562;syncGetCycleTime;UINT;0.1056.0
3563;syncDelayTime;REAL;0.1057.0
3564;syncSync0CycleTime;REAL;0.1058.0
3565;syncSMEventMissed;UINT;0.1059.0
3566;syncCycleTimeTooSmall;UINT;0.1060.0
3567;syncSyncError;BOOL;0.1061.0
3568;syncCalcAndCopyTime_1C33;REAL;0.1062.0
3569;syncDelayTime_1C33;REAL;0.1063.0
3570;processDataTooLateCount;UDINT;0.1770.0
3572;explicitDeviceId;UINT;0.7600.0
3573;sdo1000_DeviceType;UDINT;0.7601.0
3574;sdo1001_ErrorRegister;USINT;0.7602.0
3575;sdo1008_DeviceName;STRING(32);0.7603.0
3576;sdo1009_HardwareVersion;STRING(6);0.7604.0
3577;sdo100A_SoftwareVersion;STRING(32);0.7605.0
3579;sdo1018_VendorId;UDINT;0.7607.0
3580;sdo1018_ProductCode;UDINT;0.7608.0
3581;sdo1018_Revision;UDINT;0.7609.0
3582;firmwareGITHash;STRING(20);0.9595.0
3586;operatingHoursCounterUint;UDINT;0.14231.0
3587;expectedItacPowerstage;STRING(15);0.16000.0
3588;expectedItacSafety;STRING(15);0.16001.0
3589;autoProtocolDetection;BOOL;0.36029.0
3590;activeSingleTurnResolution;UDINT;0.36030.0
3591;activeMultiTurnResolution;UDINT;0.36031.0
3592;bissTimeoutValue;REAL;0.36032.0
3596;sdo10F1_LocalErrorReaction;UDINT;0.43543.0
3597;sdo10F1_SyncErrorCounterLimit;UINT;0.43544.0
3598;sdo10F3_MaximumMessages;USINT;0.43545.0
3599;sdo10F3_NewestMessage;USINT;0.43546.0
3600;sdo10F3_NewestAckMessage;USINT;0.43547.0
3601;sdo10F3_NewMessageAvailable;BOOL;0.43548.0
3602;sdo10F3_Flags;UINT;0.43549.0
3603;sdo10F8_TimestampObject;ULINT;0.43550.0
3604;sdo10F3_DiagArray0;USINT;0.43551.0
3605;sdo10F3_DiagArray1;USINT;0.43552.0
3606;sdo10F3_DiagArray2;USINT;0.43553.0
3607;sdo10F3_DiagArray3;USINT;0.43554.0
3608;sdo10F3_DiagArray4;USINT;0.43555.0
3609;sdo10F3_DiagArray5;USINT;0.43556.0
3610;sdo10F3_DiagArray6;USINT;0.43557.0
3611;sdo10F3_DiagArray7;USINT;0.43558.0
3612;sdo10F3_DiagArray8;USINT;0.43559.0
3613;sdo10F3_DiagArray9;USINT;0.43560.0
3614;sdo10F3_DiagArray10;USINT;0.43561.0
3615;sdo10F3_DiagArray11;USINT;0.43562.0
3616;sdo10F3_DiagArray12;USINT;0.43563.0
3617;sdo10F3_DiagArray13;USINT;0.43564.0
3618;sdo10F3_DiagArray14;USINT;0.43565.0
3619;sdo10F3_DiagArray15;USINT;0.43566.0
3620;sdo10F3_DiagArray16;USINT;0.43567.0
3621;sdo10F3_DiagArray17;USINT;0.43568.0
3622;sdo10F3_DiagArray18;USINT;0.43569.0
3623;sdo10F3_DiagArray19;USINT;0.43570.0
3624;foeState;UDINT;0.44550.0
3625;foeFileType;UINT;0.44551.0
3626;foeCounter;UDINT;0.44552.0
3627;numberOfUpdateJobs;INT;0.100023.0
3628;activeUpdateJob;INT;0.100024.0
3629;numberOfBytesToFlash;DINT;0.100028.0
3630;numberOfBytesFlashed;DINT;0.100029.0
3643;exclusiveProfileID;UDINT;0.100046.0
3644;exclusiveConnectionID;UDINT;0.100047.0
3645;state;USINT;0.100048.0
3646;exclusiveOperationPriorityID;UDINT;0.100072.0
3647;rteConfigSelection;UDINT;0.100159.0
3648;rteConfigActive;UDINT;0.100179.0
3649;rteConfigNext;UDINT;0.100181.0
3650;rteInputsCaptured;UDINT;0.100185.0
3651;rteInputsSampled;UDINT;0.100189.0
3654;OsStatus;UDINT;0.100257.0
3655;RegDFSR;UDINT;0.100265.0
3656;RegIFSR;UDINT;0.100273.0
3657;apploaderVersionMajor;UDINT;0.100680.0
3658;apploaderVersionMinor;UDINT;0.100681.0
3659;apploaderVersionPatch;UDINT;0.100682.0
3660;apploaderVersionBuild;UDINT;0.100683.0
3661;apploaderVersionString;STRING(32);0.100684.0
3662;apploaderTimestamp;STRING(48);0.100685.0
3663;fieldbusStackVersionMajor;UINT;0.100686.0
3664;apploaderBuildUser;STRING(32);0.100689.0
3665;fieldbusStackVersionMinor;UINT;0.100690.0
3666;fieldbusStackVersionBuild;UINT;0.100691.0
3667;fieldbusStackVersionRevision;UINT;0.100692.0
3668;fieldbusStackVersionString;STRING(63);0.100693.0
3672;parameterSetStored_DiagnosisLevels;UINT;0.100811.0
3673;ProfinetDiagActivation;SINT;0.100821.0
3676;RegDFAR;UDINT;0.101133.0
3677;RegIFAR;UDINT;0.101134.0
3678;RegVBAR;UDINT;0.101135.0
3679;RegISR;UDINT;0.101137.0
3680;ActiveTaskId;UDINT;0.101139.0
3681;ActiveTaskStackFillLevel;UDINT;0.101140.0
3682;ActiveTaskStackSize;UDINT;0.101141.0
3683;CurrentTaskId;UDINT;0.101142.0
3684;CurrentTaskStackFillLevel;UDINT;0.101144.0
3685;CurrentTaskStackSize;UDINT;0.101145.0
3686;HeapUsed;UDINT;0.101146.0
3687;HeapSize;UDINT;0.101147.0
3688;incompatibleDeviceConfigPLC_LogSettings;USINT;0.101291.0
3689;incompatibleDeviceConfigPLC_DiagnosisLevels;UINT;0.101296.0
3768;lastReceivedFrameNumber_LA;UINT;0.100011.0
3769;lastReceivedFrameNumber_LA;UINT;0.100011.1
3770;numberOfCrcErrors_LA;UDINT;0.100014.0
3771;numberOfCrcErrors_LA;UDINT;0.100014.1
3772;numberOfHeaderErrors_LA;UDINT;0.100015.0
3773;numberOfHeaderErrors_LA;UDINT;0.100015.1
3774;numberOfFrameSequenceErrors_LA;UDINT;0.100016.0
3775;numberOfFrameSequenceErrors_LA;UDINT;0.100016.1
3776;lastReceivedFrameNumber_LB;UINT;0.100017.0
3777;lastReceivedFrameNumber_LB;UINT;0.100017.1
3778;numberOfCrcErrors_LB;UDINT;0.100018.0
3779;numberOfCrcErrors_LB;UDINT;0.100018.1
3780;numberOfHeaderErrors_LB;UDINT;0.100019.0
3781;numberOfHeaderErrors_LB;UDINT;0.100019.1
3782;numberOfFrameSequenceErrors_LB;UDINT;0.100020.0
3783;numberOfFrameSequenceErrors_LB;UDINT;0.100020.1
3784;Crc2_LA;USINT;0.100049.0
3785;actualVoltageLa;REAL;0.100053.0
3786;actualVoltageLa;REAL;0.100053.1
3787;actualVoltageLa;REAL;0.100053.2
3788;actualVoltageLa;REAL;0.100053.3
3789;actualVoltageLb;REAL;0.100065.0
3790;actualVoltageLb;REAL;0.100065.1
3791;actualVoltageLb;REAL;0.100065.2
3792;actualVoltageLb;REAL;0.100065.3
3793;ERR_STATE_LB;UINT;0.100066.0
3794;testPulseFilterTime;REAL;0.100067.0
3795;testPulseFilterTime;REAL;0.100067.1
3796;testPulseFilterTime;REAL;0.100067.2
3797;testPulseFilterTime;REAL;0.100067.3
3798;testPulseFilterTime;REAL;0.100067.4
3799;testPulseFilterTime;REAL;0.100067.5
3800;testPulseFilterTime;REAL;0.100067.6
3801;testPulseFilterTime;REAL;0.100067.7
3802;testPulseFilterTime;REAL;0.100067.8
3803;testPulseFilterTime;REAL;0.100067.9
3804;testPulseFilterTime;REAL;0.100067.10
3805;testPulseFilterTime;REAL;0.100067.11
3806;ERR_SF_REQ_LA;UDINT;0.100068.0
3807;ValueLA;BOOL;0.100069.0
3808;ValueLA;BOOL;0.100069.1
3809;ValueLA;BOOL;0.100069.2
3810;ValueLA;BOOL;0.100069.3
3811;ValueLA;BOOL;0.100069.4
3812;ValueLA;BOOL;0.100069.5
3813;ValueLA;BOOL;0.100069.6
3814;ValueLA;BOOL;0.100069.7
3815;ValueLA;BOOL;0.100069.8
3816;ValueLA;BOOL;0.100069.9
3817;ValueLA;BOOL;0.100069.10
3818;ValueLA;BOOL;0.100069.11
3819;ERR_SF_REQ_LB;UDINT;0.100070.0
3820;QualifierLA;BOOL;0.100071.0
3821;QualifierLA;BOOL;0.100071.1
3822;QualifierLA;BOOL;0.100071.2
3823;QualifierLA;BOOL;0.100071.3
3824;QualifierLA;BOOL;0.100071.4
3825;QualifierLA;BOOL;0.100071.5
3826;QualifierLA;BOOL;0.100071.6
3827;QualifierLA;BOOL;0.100071.7
3828;QualifierLA;BOOL;0.100071.8
3829;QualifierLA;BOOL;0.100071.9
3830;QualifierLA;BOOL;0.100071.10
3831;QualifierLA;BOOL;0.100071.11
3832;FilteredValueLA;BOOL;0.100073.0
3833;FilteredValueLA;BOOL;0.100073.1
3834;FilteredValueLA;BOOL;0.100073.2
3835;FilteredValueLA;BOOL;0.100073.3
3836;FilteredValueLA;BOOL;0.100073.4
3837;FilteredValueLA;BOOL;0.100073.5
3838;FilteredValueLA;BOOL;0.100073.6
3839;FilteredValueLA;BOOL;0.100073.7
3840;FilteredValueLA;BOOL;0.100073.8
3841;FilteredValueLA;BOOL;0.100073.9
3842;FilteredValueLA;BOOL;0.100073.10
3843;FilteredValueLA;BOOL;0.100073.11
3844;FilteredValueLB;BOOL;0.100075.0
3845;FilteredValueLB;BOOL;0.100075.1
3846;FilteredValueLB;BOOL;0.100075.2
3847;FilteredValueLB;BOOL;0.100075.3
3848;FilteredValueLB;BOOL;0.100075.4
3849;FilteredValueLB;BOOL;0.100075.5
3850;FilteredValueLB;BOOL;0.100075.6
3851;FilteredValueLB;BOOL;0.100075.7
3852;FilteredValueLB;BOOL;0.100075.8
3853;FilteredValueLB;BOOL;0.100075.9
3854;FilteredValueLB;BOOL;0.100075.10
3855;FilteredValueLB;BOOL;0.100075.11
3856;inputValueLa;BOOL;0.100077.0
3857;inputValueLa;BOOL;0.100077.1
3858;inputValueLa;BOOL;0.100077.2
3859;inputValueLa;BOOL;0.100077.3
3860;inputValueLa;BOOL;0.100077.4
3861;inputValueLa;BOOL;0.100077.5
3862;inputQualifierLa;BOOL;0.100078.0
3863;inputQualifierLa;BOOL;0.100078.1
3864;inputQualifierLa;BOOL;0.100078.2
3865;inputQualifierLa;BOOL;0.100078.3
3866;inputQualifierLa;BOOL;0.100078.4
3867;inputQualifierLa;BOOL;0.100078.5
3868;discrepancyTime;REAL;0.100079.0
3869;discrepancyTime;REAL;0.100079.1
3870;discrepancyTime;REAL;0.100079.2
3871;discrepancyTime;REAL;0.100079.3
3872;discrepancyTime;REAL;0.100079.4
3873;discrepancyTime;REAL;0.100079.5
3874;ValueLB;BOOL;0.100080.0
3875;ValueLB;BOOL;0.100080.1
3876;ValueLB;BOOL;0.100080.2
3877;ValueLB;BOOL;0.100080.3
3878;ValueLB;BOOL;0.100080.4
3879;ValueLB;BOOL;0.100080.5
3880;ValueLB;BOOL;0.100080.6
3881;ValueLB;BOOL;0.100080.7
3882;ValueLB;BOOL;0.100080.8
3883;ValueLB;BOOL;0.100080.9
3884;ValueLB;BOOL;0.100080.10
3885;ValueLB;BOOL;0.100080.11
3886;QualifierLB;BOOL;0.100081.0
3887;QualifierLB;BOOL;0.100081.1
3888;QualifierLB;BOOL;0.100081.2
3889;QualifierLB;BOOL;0.100081.3
3890;QualifierLB;BOOL;0.100081.4
3891;QualifierLB;BOOL;0.100081.5
3892;QualifierLB;BOOL;0.100081.6
3893;QualifierLB;BOOL;0.100081.7
3894;QualifierLB;BOOL;0.100081.8
3895;QualifierLB;BOOL;0.100081.9
3896;QualifierLB;BOOL;0.100081.10
3897;QualifierLB;BOOL;0.100081.11
3898;LocalErrorReactionLA;UINT;0.100083.0
3899;MaxQueueCountLA;UDINT;0.100087.0
3900;LocalErrorReactionLB;UINT;0.100088.0
3901;MaxQueueCountLB;UDINT;0.100089.0
3902;ActQueueCountLA;UDINT;0.100090.0
3903;ActQueueCountLB;UDINT;0.100092.0
3910;overVoltageError_DiagnosisLevels;UINT;0.100106.0
3911;overVoltageError_DiagnosisLevels;UINT;0.100106.1
3912;overVoltageError_DiagnosisLevels;UINT;0.100106.2
3913;overVoltageError_DiagnosisLevels;UINT;0.100106.3
3918;underVoltage_RestartBehavior;UINT;0.100130.0
3919;underVoltage_RestartBehavior;UINT;0.100130.1
3920;underVoltage_RestartBehavior;UINT;0.100130.2
3921;underVoltage_RestartBehavior;UINT;0.100130.3
3922;ERR_STATE_LA;UINT;0.100144.0
3923;inputValueLb;BOOL;0.100145.0
3924;inputValueLb;BOOL;0.100145.1
3925;inputValueLb;BOOL;0.100145.2
3926;inputValueLb;BOOL;0.100145.3
3927;inputValueLb;BOOL;0.100145.4
3928;inputValueLb;BOOL;0.100145.5
3929;inputQualifierLb;BOOL;0.100146.0
3930;inputQualifierLb;BOOL;0.100146.1
3931;inputQualifierLb;BOOL;0.100146.2
3932;inputQualifierLb;BOOL;0.100146.3
3933;inputQualifierLb;BOOL;0.100146.4
3934;inputQualifierLb;BOOL;0.100146.5
3935;safetyVersion_LA;STRING(30);0.100149.0
3936;safetyVersion_LB;STRING(30);0.100151.0
3938;safetyFirmwareName_LA;STRING(30);0.100153.0
3940;safetyFirmwareName_LB;STRING(30);0.100155.0
3941;HardfaultCauseLB;UDINT;0.100171.0
3944;invalidSafetyFirmware_DiagnosisLevels;UINT;0.100177.0
3945;errorMainSwitch_DiagnosisLevels;UINT;0.100178.0
3946;syncClockSafetyLA;UDINT;0.100193.0
3949;syncClockSafetyLB;UDINT;0.100207.0
3950;SafetyPreparedCrc1;USINT;0.100223.0
3953;HardfaultCauseLA;UDINT;0.100229.0
3954;SafetyActiveCrc1;USINT;0.100231.0
3956;ExceptionSafety_DiagnosisLevels;UINT;0.100237.0
3958;InvalidHciCrc_DiagnosisLevels;UINT;0.100248.0
3959;currentTemperatureLa;REAL;0.100253.0
3961;WrongSequenceHci_DiagnosisLevels;UINT;0.100260.0
3962;currentTemperatureLb;REAL;0.100269.0
3964;InvalidHeaderHci_DiagnosisLevels;UINT;0.100272.0
3965;safetyReinitState_LA;UDINT;0.100279.0
3966;safetyReinitState_LB;UDINT;0.100287.0
3968;overTemperature_DiagnosisLevels;UINT;0.100301.0
3970;underTemperature_DiagnosisLevels;UINT;0.100349.0
3974;ActiveCRC1Missmatch_DiagnosisLevels;UINT;0.100403.0
3978;CRC1Missmatch_DiagnosisLevels;UINT;0.100507.0
3979;StateLA;UDINT;0.100568.0
3980;SF_STATUS;USINT;0.100572.0
3981;StateLB;UDINT;0.100578.0
3982;ActivationLA;BOOL;0.100592.0
3983;ActivationLB;BOOL;0.100596.0
3984;TestPulseLength;REAL;0.100600.0
3985;TestPulseLength;REAL;0.100600.1
3986;TestPulseLength;REAL;0.100600.2
3987;TestPulseLength;REAL;0.100600.3
3988;TestPulseLength;REAL;0.100600.4
3989;TestPulseLength;REAL;0.100600.5
3990;TestPulseLength;REAL;0.100600.6
3991;TestPulseLength;REAL;0.100600.7
3992;TestPulseLength;REAL;0.100600.8
